PLANTILLA_PERDIDASDELINEA;;;;;
Sistema;COV - CNG;;;;
Tramo;COV - CTG;;;;
Distancia;N/A;;;;
Prop1;N/A;;;;
Prop2;N/A;;;;
Prop3;N/A;;;;
Prop4;N/A;;;;
Prop5;N/A;;;;
Prop6;N/A;;;;
Estampa de tiempo;DPreal (psi);Flujo (BLS/h);GE (API);Visc. Obs. (cSt); GElínea 
2/05/2021 2:00;1557,478667;6314,1005;21,55;81,17;21,41
2/05/2021 3:00;1558,293333;6317,155667;21,52;81,9;21,42
2/05/2021 4:00;1557,053333;6313,272833;21,6;80,67;21,43
2/05/2021 5:00;1554,297667;6317,384;21,62;80,81;21,44
2/05/2021 6:00;1461,605333;6102,567333;21,59;80,37;21,45
2/05/2021 7:00;1386,281;6012,130833;21,59;79,04;21,46
2/05/2021 8:00;1372,05;6045,422;21,52;78,19;21,46
2/05/2021 9:00;1358,870333;6083,6315;21,67;76,22;21,47
2/05/2021 10:00;1345,921833;6100,7315;21,56;76,03;21,48
2/05/2021 11:00;1331,861;6124,539833;21,62;76,23;21,48
2/05/2021 12:00;1329,348167;6172,249167;21,61;77,32;21,49
2/05/2021 13:00;1323,484;6187,063;21,51;79,04;21,5
2/05/2021 14:00;1322,475333;6190,352833;21,59;78,45;21,49
2/05/2021 15:00;1322,237;6182,569167;21,67;77,76;21,5
2/05/2021 16:00;1324,5;6179,0805;21,6;78,19;21,51
2/05/2021 17:00;1001,761833;5038,691333;21,57;78,31;21,51
2/05/2021 18:00;942,6181667;4921,357667;21,57;78,25;21,52
2/05/2021 19:00;937,8318333;4936,959;21,59;78,89;21,52
2/05/2021 20:00;933,6605;4958,982333;21,75;79,85;21,53
3/05/2021 2:00;1250,287667;6103,039167;21,62;79,08;21,61
3/05/2021 3:00;1255,3275;6086,551;21,63;79,98;21,62
3/05/2021 4:00;1258,673167;6070,724167;21,56;80,66;21,62
3/05/2021 5:00;1262,027;6053,5875;21,55;80,67;21,61
3/05/2021 6:00;1265,308833;6044,921833;21,57;80,8;21,61
3/05/2021 7:00;1268,542833;6029,44;21,6;80,71;21,61
3/05/2021 8:00;1272,301;6022,613833;21,57;78,19;21,61
3/05/2021 9:00;1277,678333;6023,119;21,55;77,08;21,61
3/05/2021 10:00;1280,875833;6015,09;21,55;76,7;21,61
3/05/2021 11:00;1282,87;6002,619833;21,55;76,15;21,6
3/05/2021 12:00;1283,3625;5991,206667;21,64;75,72;21,61
3/05/2021 13:00;1282,307167;5990,343167;21,63;75,99;21,61
3/05/2021 14:00;1283,492333;5983,467833;21,52;76,33;21,61
3/05/2021 15:00;1284,647333;5974,476667;21,54;77,83;21,6
3/05/2021 16:00;1287,119167;5965,206;21,73;78,69;21,6
3/05/2021 17:00;1299,677833;5990,137833;21,61;77,32;21,6
3/05/2021 18:00;1300,600833;5980,938833;21,56;78,8;21,6
3/05/2021 19:00;1301,348833;5973,155;21,48;79,7;21,59
3/05/2021 20:00;1301,2975;5960,614333;21,63;79,9;21,59
3/05/2021 21:00;1300,680833;5956,363;21,64;78,65;21,59
3/05/2021 22:00;1298,6815;5949,6725;21,5;81,81;21,58
3/05/2021 23:00;1296,213333;5938,237667;21,65;81,34;21,58
4/05/2021 0:00;1295,550833;5934,524;21,6;80,26;21,58
4/05/2021 1:00;1294,846;5939,2435;21,6;80,91;21,59
4/05/2021 2:00;1294,057833;5940,7335;21,6;80,08;21,59
4/05/2021 3:00;1298,620833;5946,099333;21,6;80,86;21,59
4/05/2021 4:00;1302,572667;5935,255667;21,5;80,96;21,58
4/05/2021 6:00;1345,8155;5932,561;20,4;110,85;21,45
4/05/2021 7:00;1360,409333;5920,218833;20,5;104,79;21,4
4/05/2021 8:00;1368,655667;5907,094;20,5;104,19;21,34
4/05/2021 9:00;1372,436167;5886,362333;20,5;103,39;21,28
4/05/2021 10:00;1374,1715;5875,242167;20,6;102,68;21,24
4/05/2021 11:00;1375,393667;5875,033667;20,5;101,49;21,19
4/05/2021 12:00;1381,484333;5887,118;20,5;101,82;21,12
4/05/2021 13:00;1390,994167;5907,672667;20,4;101,84;21,06
4/05/2021 14:00;1388,891167;5885,463;20,4;104,43;21,01
4/05/2021 15:00;1395,564167;5867,266333;20,5;104,37;20,98
4/05/2021 16:00;1404,759667;5847,391;20,4;104,5;20,93
4/05/2021 17:00;1410,612667;5832,941;20,5;104,49;20,88
4/05/2021 18:00;1410,985833;5805,644167;20,4;104,51;20,82
4/05/2021 19:00;1408,261;5784,954833;20,4;105,34;20,76
4/05/2021 20:00;1406,837667;5775,449167;20,5;104,28;20,71
4/05/2021 21:00;1528,716333;6080,061167;20,5;104,61;20,61
4/05/2021 22:00;1572,489333;6110,841833;20,6;104,97;20,56
4/05/2021 23:00;1581,001;6067,7545;20,5;105,09;20,51
5/05/2021 0:00;1468,5235;5738,356833;20,39;105,37;20,5
5/05/2021 1:00;1450,197667;5704,6865;20,42;105,93;20,45
5/05/2021 2:00;1450,500167;5714,463833;20,4;105,22;20,47
5/05/2021 3:00;1451,5135;5708,0705;20,36;106,02;20,47
5/05/2021 4:00;1452,8435;5709,5545;20,43;107,29;20,46
5/05/2021 5:00;1453,110667;5720,427667;20,45;106,93;20,46
5/05/2021 6:00;1457,456667;5739,426333;20,36;106,34;20,45
5/05/2021 7:00;1463,838667;5758,865333;20,39;105,04;20,44
5/05/2021 8:00;1560,720833;6026,7655;20,34;102,77;20,43
5/05/2021 9:00;1592,7085;6073,955667;20,53;103,2;20,44
5/05/2021 10:00;1589,421167;6081,937833;20,46;103,14;20,44
5/05/2021 11:00;1581,36;6108,391;20,46;102,89;20,44
5/05/2021 12:00;1574,849167;6123,0305;20,44;104,64;20,44
5/05/2021 13:00;1573,766833;6123,189833;20,35;104,43;20,43
5/05/2021 14:00;1577,6185;6109,281833;20,32;103,26;20,43
5/05/2021 15:00;1583,7515;6079,069667;20,44;102,55;20,43
5/05/2021 16:00;1587,341167;6061,818667;20,54;103,33;20,43
5/05/2021 17:00;1584,5935;6086,9115;20,67;104,46;20,44
5/05/2021 18:00;1571,358333;6096,511333;20,61;104,53;20,44
5/05/2021 19:00;1556,007667;6124,410333;20,5;104,6;20,44
5/05/2021 20:00;1552,779;6176,696333;20,46;104,1;20,45
5/05/2021 21:00;1546,090333;6186,5945;20,5;104,12;20,45
5/05/2021 22:00;1548,426833;6184,821667;20,43;104,66;20,46
5/05/2021 23:00;1548,699667;6182,067333;20,5;105,24;20,46
6/05/2021 0:00;1548,707667;6167,616833;20,35;105,13;20,46
6/05/2021 1:00;1548,292833;6168,2125;20,42;105,18;20,45
6/05/2021 2:00;1546,6745;6158,249833;20,44;104,88;20,46
6/05/2021 3:00;1548,972167;6173,596667;20,45;105,61;20,46
6/05/2021 4:00;1542,51;6161,952333;20,41;106,32;20,46
6/05/2021 5:00;1538,565333;6157,0005;20,47;106,4;20,46
6/05/2021 6:00;1544,152333;6178,1645;20,41;106,21;20,46
6/05/2021 7:00;1539,526;6162,663333;20,39;106,51;20,46
6/05/2021 8:00;1537,8115;6191,847;21,69;87,44;20,53
6/05/2021 9:00;1400,448333;5901,232333;21,58;79,55;20,58
6/05/2021 10:00;1383,029833;5933,363833;21,58;79;20,64
6/05/2021 11:00;1364,691167;5933,87;21,64;78,87;20,7
6/05/2021 12:00;1358,697167;5932,937;21,73;78;20,76
6/05/2021 13:00;1359,049;5916,8915;21,59;78,5;20,81
6/05/2021 14:00;1361,139167;5892,640833;21,52;80,03;20,85
6/05/2021 15:00;1368,450833;5868,455333;21,66;79,17;20,89
6/05/2021 16:00;1379,783833;5859,1655;21,64;78,68;20,95
6/05/2021 17:00;1392,932167;5873,329833;21,5;79,35;21,02
6/05/2021 18:00;1390,808667;5858,616;21,84;80,12;21,06
6/05/2021 19:00;1385,851333;5851,633333;21,62;82,26;21,12
6/05/2021 20:00;1381,378;5844,0205;21,71;80,83;21,17
6/05/2021 21:00;1378,096167;5848,975;21,6;80,6;21,23
6/05/2021 22:00;1378,272167;5848,517;21,74;82,15;21,3
6/05/2021 23:00;1378,989333;5851,924833;21,69;81,89;21,36
9/05/2021 20:00;1401,405667;5731,670833;20,78181818;100,7;20,68
9/05/2021 21:00;1400,8685;5730,167833;20,81818182;100,06;20,69
9/05/2021 22:00;1400,579833;5729,8405;20,77692308;100,69;20,69
9/05/2021 23:00;1405,708333;5745,745;20,7;99,6;20,7
10/05/2021 0:00;1406,182833;5741,013167;20,74615385;99,37;20,7
10/05/2021 1:00;1414,242;5757,328833;20,77575758;101,27;20,7
10/05/2021 2:00;1411,949333;5761,617;20,684375;99,23;20,7
10/05/2021 3:00;1409,725;5750,648;20,71960784;100,98;20,7
10/05/2021 4:00;1406,322833;5743,5115;20,64318182;101,61;20,7
10/05/2021 5:00;1403,572333;5734,4395;20,64;101,51;20,7
10/05/2021 6:00;1401,622333;5731,370333;20,64727273;101,11;20,7
10/05/2021 7:00;1399,3985;5721,190667;20,68428571;101,38;20,7
10/05/2021 8:00;1397,551333;5716,485333;20,67419355;98,7;20,7
10/05/2021 9:00;1394,060167;5715,124333;20,57592593;98,42;20,69
10/05/2021 10:00;1390,620833;5702,757833;20,57166667;97,6;20,69
10/05/2021 11:00;1386,402667;5700,893833;20,58474576;98,81;20,68
10/05/2021 12:00;1384,566667;5693,897667;20,6;97,95;20,68
10/05/2021 13:00;1380,859667;5689,688833;20,64339623;97,38;20,68
10/05/2021 14:00;1375,8625;5675,133333;20,66545455;97,61;20,68
10/05/2021 15:00;1365,179;5653,992;20,74642857;97,64;20,69
10/05/2021 16:00;1361,273167;5645,539833;20,596875;98,39;20,68
10/05/2021 17:00;1356,398667;5641,0545;20,56666667;98,51;20,67
10/05/2021 19:00;1397,199167;5714,0115;19,8490566;120,35;20,54
10/05/2021 20:00;1408,803;5728,520833;19,86666667;121,74;20,5
10/05/2021 21:00;1408,542333;5701,543833;19,92264151;120,89;20,46
10/05/2021 22:00;1413,233167;5697,855167;20;120,27;20,42
10/05/2021 23:00;1420,7395;5696,471333;19,96428571;121,44;20,39
11/05/2021 0:00;1420,459667;5693,814667;19,94262295;121,35;20,35
11/05/2021 1:00;1425,034833;5686,837667;19,95098039;121,3;20,32
11/05/2021 2:00;1429,938167;5693,215667;20,00217391;120,94;20,29
11/05/2021 3:00;1433,323;5683,752667;19,88409091;119,97;20,25
11/05/2021 4:00;1426,387833;5653,108167;20,01481481;121,37;20,22
11/05/2021 5:00;1436,61;5671,397667;20,01212121;121,18;20,19
11/05/2021 6:00;1443,014667;5679,576;19,95434783;122,57;20,16
11/05/2021 7:00;1442,786333;5674,335333;19,97560976;121,55;20,13
11/05/2021 8:00;1440,7385;5651,64;19,90232558;119,82;20,1
11/05/2021 9:00;1438,345333;5641,697;19,90588235;118,76;20,06
11/05/2021 10:00;1436,242667;5628,051833;19,9;117,09;20,03
11/05/2021 11:00;1437,397667;5616,466667;19,82;115,7;19,99
11/05/2021 12:00;1439,257167;5605,459;19,91153846;115;19,95
11/05/2021 13:00;1437,852167;5596,905;19,90746269;114,58;19,92
11/05/2021 14:00;1432,0835;5575,180833;19,87758621;115,36;19,91
11/05/2021 15:00;1435,231667;5586,806333;19,90985915;117,03;19,88
11/05/2021 16:00;1439,453167;5621,013833;19,83787879;118,17;19,93
11/05/2021 17:00;1447,057;5641,425667;19,96170213;118,44;19,93
11/05/2021 18:00;1441,137833;5617,390667;19,86964286;119,12;19,93
11/05/2021 19:00;1428,301667;5584,114;19,93;119,38;19,93
11/05/2021 20:00;1426,272;5583,938667;19,88611111;119,77;19,92
11/05/2021 21:00;1421,983;5577,861;19,87288136;119,69;19,92
11/05/2021 22:00;1429,692;5592,443333;19,96046512;120,26;19,92
11/05/2021 23:00;1433,701667;5608,963333;19,96603774;119,87;19,92
12/05/2021 0:00;1432,780833;5604,205667;19,88043478;119,5;19,92
12/05/2021 1:00;1435,5435;5607,544333;19,9097561;120,42;19,91
12/05/2021 2:00;1436,277333;5612,904333;19,95344828;120,51;19,91
12/05/2021 3:00;1438,920833;5613,147833;19,92884615;120,91;19,91
12/05/2021 4:00;1439,012;5618,126;20,02333333;121,53;19,91
12/05/2021 5:00;1451,250167;5650,324167;20,03043478;120,29;19,92
12/05/2021 17:00;956,5746667;4102,392;19,91060606;117,29;19,95
12/05/2021 18:00;952,5271667;4125,101667;19,99836066;120,46;19,96
12/05/2021 19:00;1069,707833;4590,028333;19,96493506;120,78;19,96
12/05/2021 20:00;1484,648333;5723,277;19,95714286;119,71;19,98
12/05/2021 21:00;1498,020667;5778,745;20,01304348;119,44;19,99
12/05/2021 22:00;1498,1635;5782,323667;19,92037037;119,13;19,99
